EstablecimientoCodigo;EstablecimientoGlosa;TipoEstablecimientoGlosa;TipoSistemaSaludGlosa;DependenciaAdministrativa;NivelAtencionEstabglosa;RegionGlosa;ComunaGlosa;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa
103704;Centro Comunitario de Salud Familiar Antofagasta;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Antofagasta;Antofagasta;Baja Complejidad;Atención Abierta-Ambulatoria
103400;Posta de Salud Rural Baquedano;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Antofagasta;Sierra Gorda;Baja Complejidad;Atención Abierta-Ambulatoria
200912;SUR Baquedano;Servicio de Urgencia Rural (SUR);Público;Municipal;Primario;Región de Antofagasta;Sierra Gorda;Baja Complejidad;Atención Abierta-Ambulatoria
103403;Posta de Salud Rural Toconao;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Antofagasta;San Pedro de Atacama;Baja Complejidad;Atención Abierta-Ambulatoria
103104;Hospital de Mejillones;Hospital;Público;Servicio de Salud;;Región de Antofagasta;Mejillones;Baja Complejidad;Atención Cerrada-Hospitalaria
103311;Centro de Salud Familiar San Pedro Atacama;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Antofagasta;San Pedro de Atacama;Baja Complejidad;Atención Abierta-Ambulatoria
200910;SUR San Pedro Atacama;Servicio de Urgencia Rural (SUR);Público;Municipal;Primario;Región de Antofagasta;San Pedro de Atacama;Baja Complejidad;Atención Abierta-Ambulatoria
103401;Posta de Salud Rural Sierra Gorda;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Antofagasta;Sierra Gorda;Baja Complejidad;Atención Abierta-Ambulatoria
200914;SUR Sierra Gorda;Servicio de Urgencia Rural (SUR);Público;Municipal;Primario;Región de Antofagasta;Sierra Gorda;Baja Complejidad;Atención Abierta-Ambulatoria
103414;Estación de Salud Rural Río Grande;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Antofagasta;San Pedro de Atacama;Baja Complejidad;Atención Abierta-Ambulatoria
103705;Centro Comunitario de Salud Familiar Sur;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
103807;SAPU SUR;Servicio de Atención Primaria de Urgencia (SAPU);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
103278;Laboratorio Clínico COMDES;Laboratorio Clínico;Público;Municipal;No Aplica;Región de Antofagasta;Calama;Pendiente;No Aplica
103305;Centro de Salud Familiar Central de Calama;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
103707;Centro Comunitario de Salud Familiar Alemania;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
103601;COSAM Calama;Centro Comunitario de Salud Mental  (COSAM);Público;Servicio de Salud;Secundario;Región de Antofagasta;Calama;Mediana Complejidad;Atención Abierta-Ambulatoria
200241;Centro Comunitario de Salud Familiar Oasis;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
103307;Centro de Salud Familiar Alemania de Calama;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
200348;SAR Alemania;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
103256;Consultorio Prefectura de El Loa;Centro de Salud Privado;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);Secundario;Región de Antofagasta;Calama;Pendiente;Atención Abierta-Ambulatoria
103101;Hospital Dr. Carlos Cisternas (Calama);Hospital;Público;Servicio de Salud;Terciario;Región de Antofagasta;Calama;Alta Complejidad;Atención Cerrada-Hospitalaria
103806;SAPU Norponiente;Servicio de Atención Primaria de Urgencia (SAPU);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
103306;Centro de Salud Familiar Montt;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
103312;Centro de Salud Familiar Norponiente;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
103410;Posta de Salud Rural Chiu-Chiu;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
103309;Centro de Salud Familiar María Elena;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Antofagasta;Maria Elena;Baja Complejidad;Atención Abierta-Ambulatoria
200913;SUR María Elena;Servicio de Urgencia Rural (SUR);Público;Municipal;Primario;Región de Antofagasta;Maria Elena;Baja Complejidad;Atención Abierta-Ambulatoria
103406;Posta de Salud Rural Caspana;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
103409;Posta de Salud Rural Ayquina;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Antofagasta;Calama;Baja Complejidad;Atención Abierta-Ambulatoria
103102;Hospital Dr. Marcos Macuada (Tocopilla);Hospital;Público;Servicio de Salud;;Región de Antofagasta;Tocopilla;Baja Complejidad;Atención Cerrada-Hospitalaria
103411;Posta de Salud Rural Quillagua (María Elena);Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Antofagasta;Maria Elena;Baja Complejidad;Atención Abierta-Ambulatoria
103407;Posta de Salud Rural Ollagüe;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Antofagasta;Ollagüe;Baja Complejidad;Atención Abierta-Ambulatoria
102413;Posta de Salud Rural San Marcos;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102412;Posta de Salud Rural Chanavayita;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
200751;SUR Chanavayita;Servicio de Urgencia Rural (SUR);Público;Municipal;Primario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102416;Posta de Salud Rural Matilla;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Pica;Baja Complejidad;Atención Abierta-Ambulatoria
102304;Centro de Salud Familiar Dr. Juan Márquez Vismarra;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Tarapacá;Pica;Baja Complejidad;Atención Abierta-Ambulatoria
200755;SUR Pica;Servicio de Urgencia Rural (SUR);Público;Municipal;Primario;Región de Tarapacá;Pica;Baja Complejidad;Atención Abierta-Ambulatoria
102414;Posta de Salud Rural La Huayca;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Pozo Almonte;Baja Complejidad;Atención Abierta-Ambulatoria
102406;Posta de Salud Rural La Tirana;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Pozo Almonte;Baja Complejidad;Atención Abierta-Ambulatoria
102307;Centro de Salud Familiar Dr. Héctor Reyno Gutiérrez;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Tarapacá;Alto Hospicio;Baja Complejidad;Atención Abierta-Ambulatoria
200557;Centro de Salud Familiar Dr. Yandry Añazco Montero;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Tarapacá;Alto Hospicio;Baja Complejidad;Atención Abierta-Ambulatoria
102602;COSAM Enrique París;Centro Comunitario de Salud Mental  (COSAM);Público;Servicio de Salud;Secundario;Región de Tarapacá;Alto Hospicio;Mediana Complejidad;Atención Abierta-Ambulatoria
201036;SAR La Tortuga;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Público;Municipal;Primario;Región de Tarapacá;Alto Hospicio;Baja Complejidad;Atención Abierta-Ambulatoria
200335;Centro Comunitario de Salud Familiar La Tortuga;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Tarapacá;Alto Hospicio;Baja Complejidad;Atención Abierta-Ambulatoria
102305;Centro de Salud Familiar Pedro Pulgar Melgarejo;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Tarapacá;Alto Hospicio;Baja Complejidad;Atención Abierta-Ambulatoria
102303;Centro de Salud Familiar Pozo Almonte;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Tarapacá;Pozo Almonte;Baja Complejidad;Atención Abierta-Ambulatoria
