EstablecimientoCodigo;EstablecimientoGlosa;TipoEstablecimientoGlosa;TipoSistemaSaludGlosa;DependenciaAdministrativa;NivelAtencionEstabglosa;RegionGlosa;ComunaGlosa;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa
126704;Hospital Comunitario Cristina Calderón de Puerto Williams;Hospital;Público;Servicio de Salud;Primario;Región de Magallanes y de la Antártica Chilena;Cabo de Hornos;Baja Complejidad;Atención Cerrada-Hospitalaria
126204;Hospital Naval (Puerto Williams);Hospital;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);Terciario;Región de Magallanes y de la Antártica Chilena;Cabo de Hornos;Mediana Complejidad;Atención Cerrada-Hospitalaria
126412;Posta de Salud Rural Cameron;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Timaukel;Baja Complejidad;Atención Abierta-Ambulatoria
126414;Posta de Salud Rural Agua Fresca;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126102;Hospital Dr. Marco Antonio Chamorro ( Porvenir);Hospital;Público;Servicio de Salud;;Región de Magallanes y de la Antártica Chilena;Porvenir;Baja Complejidad;Atención Cerrada-Hospitalaria
200311;Centro Comunitario de Salud Familiar Dr. Juan Damianovic;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126606;COSAM Punta Arenas;Centro Comunitario de Salud Mental  (COSAM);Público;Municipal;Secundario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Mediana Complejidad;Atención Abierta-Ambulatoria
126801;SAR Dr. Juan Damianovic;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126301;Centro de Salud Familiar Dr. Juan Damianovic;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126228;Laboratorio Clínico Corporación Municipal Punta Arenas;Laboratorio Clínico;Público;Municipal;No Aplica;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Pendiente;No Aplica
126030;Unidad de Salud Funcionario  S.S Magallanes;Unidad de Salud Funcionarios;Público;Servicio de Salud;Secundario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126010;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Magallanes);Dirección Servicio de Salud;Público;Servicio de Salud;No Aplica;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126011;PRAIS (S.S Magallanes);Programa de Reparación y Atención Integral de Salud (PRAIS);Público;Servicio de Salud;No Aplica;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
200171;SAPU 18 de Septiembre;Servicio de Atención Primaria de Urgencia (SAPU);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126302;Centro de Salud Familiar 18 Septiembre;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126095;Vacunatorio SEREMI de Salud Magallanes;Vacunatorio;Público;SEREMI de Salud;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126222;Policlínico de la Fuerzas Armadas y de Orden;Centro de Salud Privado;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);Secundario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126304;Centro de Salud Familiar Carlos Ibáñez;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
201069;SAPU Carlos  Ibañez;Servicio de Atención Primaria de Urgencia (SAPU);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126227;Central Odontológica de Magallanes de 3era Zona Naval;Centro de Salud Privado;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);Secundario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126200;Hospital FFAA Cirujano Guzmán;Hospital;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);Terciario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Alta Complejidad;Atención Cerrada-Hospitalaria
126303;Centro de Salud Familiar Dr. Thomas Fenton;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126300;Centro de Salud Familiar Dr. Mateo Bencur;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126800;SAPU Dr. Mateo Bencur;Servicio de Atención Primaria de Urgencia (SAPU);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126700;Centro Comunitario de Salud Familiar Dr. Mateo Bencur;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126100;Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria;Hospital;Público;Servicio de Salud;Terciario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Alta Complejidad;Atención Cerrada-Hospitalaria
126701;Centro Comunitario de Salud Familiar Río Seco;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126402;Posta de Salud Rural Río Verde;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Río Verde;Baja Complejidad;Atención Abierta-Ambulatoria
126403;Posta de Atención Primaria Fernando Ampuero Cheuquel;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Laguna Blanca;Baja Complejidad;Atención Abierta-Ambulatoria
126404;Posta de Salud Rural Punta Delgada;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;San Gregorio;Baja Complejidad;Atención Abierta-Ambulatoria
126101;Hospital Dr. Augusto Essmann Burgos ( Natales);Hospital;Público;Servicio de Salud;Terciario;Región de Magallanes y de la Antártica Chilena;Natales;Mediana Complejidad;Atención Cerrada-Hospitalaria
126305;Centro de Salud Familiar Natales;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Natales;Baja Complejidad;Atención Abierta-Ambulatoria
201079;"SAPU ""Dr. Juan Lozic Perez""";Servicio de Atención Primaria de Urgencia (SAPU);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Natales;Baja Complejidad;Atención Abierta-Ambulatoria
126413;Posta de Salud Rural Dorotea;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Natales;Baja Complejidad;Atención Abierta-Ambulatoria
126090;Oficina Sanitaria Dorotea;Oficina Sanitaria;Público;SEREMI de Salud;No Aplica;Región de Magallanes y de la Antártica Chilena;Natales;No Aplica;No Aplica
126400;Posta de Salud Rural Cerro Castillo (Torres del Paine);Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Torres del Paine;Baja Complejidad;Atención Abierta-Ambulatoria
126410;Posta de Salud Rural Puerto Edén;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Natales;Baja Complejidad;Atención Abierta-Ambulatoria
125425;Posta de Salud Rural Villa O'Higgins;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;O'Higgins;Baja Complejidad;Atención Abierta-Ambulatoria
125428;Posta de Salud Rural Caleta Tortel;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Tortel;Baja Complejidad;Atención Abierta-Ambulatoria
125103;Hospital Lord Cochrane;Hospital;Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Cochrane;Baja Complejidad;Atención Cerrada-Hospitalaria
125409;Posta de Salud Rural Puerto Bertrand;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Chile Chico;Baja Complejidad;Atención Abierta-Ambulatoria
125410;Posta de Salud Rural Bernardita Zuñiga Vargas;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Chile Chico;Baja Complejidad;Atención Abierta-Ambulatoria
125411;Posta de Salud Rural Mallín Grande;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Chile Chico;Baja Complejidad;Atención Abierta-Ambulatoria
125412;Posta de Salud Rural Río Tranquilo;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Río Ibáñez;Baja Complejidad;Atención Abierta-Ambulatoria
125408;Posta de Salud Rural Puerto Sánchez;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Río Ibáñez;Baja Complejidad;Atención Abierta-Ambulatoria
125102;Hospital Dr. Leopoldo Ortega Rodríguez (Chile Chico);Hospital;Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Chile Chico;Baja Complejidad;Atención Cerrada-Hospitalaria
125407;Posta de Salud Rural Bahía Murta;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Río Ibáñez;Baja Complejidad;Atención Abierta-Ambulatoria
125419;Posta de Salud Rural Puerto Ibáñez;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Río Ibáñez;Baja Complejidad;Atención Abierta-Ambulatoria
125420;Posta de Salud Rural Cerro Castillo (Río Ibáñez);Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Río Ibáñez;Baja Complejidad;Atención Abierta-Ambulatoria
125400;Posta de Salud Rural Balmaceda;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125413;Posta de Salud Rural El Blanco;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125414;Posta de Salud Rural Valle Simpson;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125423;Posta de Salud Rural Lago Atravesado;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125300;CESFAM  Víctor Domingo Silva;Consultorio General Urbano (CGU);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
200170;SAPU Dr. Alejandro Gutiérrez;Servicio de Atención Primaria de Urgencia (SAPU);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125301;Consultorio Alejandro Gutiérrez;Consultorio General Urbano (CGU);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
200256;COSAM Coyhaique;Centro Comunitario de Salud Mental  (COSAM);Público;Servicio de Salud;Secundario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Mediana Complejidad;Atención Abierta-Ambulatoria
200359;Centro Comunitario de Salud Familiar Alejandro Gutierrez;Centro Comunitario de Salud Familiar (CECOSF);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125207;Centro Médico y Dental XI Zona Aysén del General Carlos Ibáñez del Campo;Centro de Salud Privado;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);No Aplica;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Mediana Complejidad;Atención Abierta-Ambulatoria
125100;Hospital Regional de Coyhaique;Hospital;Público;Servicio de Salud;Terciario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Alta Complejidad;Atención Cerrada-Hospitalaria
125012;Clínica Dental Móvil Simple. Pat.  Movil: ZBA-651;Unidad de Procedimientos Móvil;Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
200376;Mamógrafo Digital - Ecotomógrafo Móvil. Pat. PX1462-2 (SS Aysén);Unidad de Procedimientos Móvil;Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Pendiente;Atención Abierta-Ambulatoria
125030;Unidad de Salud Funcionario  S.S Aisén;Unidad de Salud Funcionarios;Público;Servicio de Salud;Secundario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125010;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Aysén);Dirección Servicio de Salud;Público;Servicio de Salud;No Aplica;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125011;PRAIS (S.S Aisén);Programa de Reparación y Atención Integral de Salud (PRAIS);Público;Servicio de Salud;No Aplica;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125205;Centro Clínico Militar Coyhaique;Centro de Salud Privado;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);Secundario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125417;Centro Comunitario de Salud Familiar Puerto Chacabuco;Centro Comunitario de Salud Familiar (CECOSF);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Aisén;Baja Complejidad;Atención Abierta-Ambulatoria
125701;Centro Comunitario de Salud Familiar Ribera Sur;Centro Comunitario de Salud Familiar (CECOSF);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Aisén;Baja Complejidad;Atención Abierta-Ambulatoria
125101;Hospital de Puerto Aysén;Hospital;Público;Servicio de Salud;Terciario;Región de Aysén del General Carlos Ibañez del Campo;Aisén;Mediana Complejidad;Atención Cerrada-Hospitalaria
200380;Centro de Salud Familiar Puerto Aysen;Centro de Salud Familiar (CESFAM);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Aisén;Baja Complejidad;Atención Abierta-Ambulatoria
125415;Posta de Salud Rural Villa Ortega;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125416;Posta de Salud Rural Ñirehuao;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125418;Centro Comunitario de Salud Familiar  Villa Mañihuales;Centro Comunitario de Salud Familiar (CECOSF);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Aisén;Baja Complejidad;Atención Abierta-Ambulatoria
125402;Posta de Salud Rural Puerto Aguirre;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Aisén;Baja Complejidad;Atención Abierta-Ambulatoria
125403;Posta de Salud Rural Caleta Andrade;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Aisén;Baja Complejidad;Atención Abierta-Ambulatoria
125426;Posta de Salud Rural El Gato;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Coyhaique;Baja Complejidad;Atención Abierta-Ambulatoria
125406;Posta de Salud Rural Villa Amengual;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Lago Verde;Baja Complejidad;Atención Abierta-Ambulatoria
125104;Hospital Dr. Jorge Ibar Bruce (Cisnes);Hospital;Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Cisnes;Baja Complejidad;Atención Cerrada-Hospitalaria
125405;Posta de Salud Rural La Tapera;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Lago Verde;Baja Complejidad;Atención Abierta-Ambulatoria
125421;Posta de Salud Rural Puyuhuapi;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Cisnes;Baja Complejidad;Atención Abierta-Ambulatoria
125429;Posta de Salud Rural Isla Toto;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Cisnes;Baja Complejidad;Atención Abierta-Ambulatoria
125404;Posta de Salud Rural Lago Verde;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Lago Verde;Baja Complejidad;Atención Abierta-Ambulatoria
125427;Posta de Salud Rural Melimoyu;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Cisnes;Baja Complejidad;Atención Abierta-Ambulatoria
125442;Centro de Salud Familiar La Junta;Centro de Salud Familiar (CESFAM);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Cisnes;Baja Complejidad;Atención Abierta-Ambulatoria
125401;Posta de Salud Rural Melinka;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Guaitecas;Baja Complejidad;Atención Abierta-Ambulatoria
125424;Posta de Salud Rural Raúl Marín Balmaceda;Posta de Salud Rural (PSR);Público;Servicio de Salud;Primario;Región de Aysén del General Carlos Ibañez del Campo;Cisnes;Baja Complejidad;Atención Abierta-Ambulatoria
124536;Posta de Salud Rural El Malito;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Palena;Baja Complejidad;Atención Abierta-Ambulatoria
124140;Hospital de Palena;Hospital;Público;Servicio de Salud;;Región de Los Lagos;Palena;Baja Complejidad;Atención Cerrada-Hospitalaria
124534;Posta de Salud Rural Puerto Ramírez;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Palena;Baja Complejidad;Atención Abierta-Ambulatoria
124532;Posta de Salud Rural El Frío o Santa Lucía;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Chaitén;Baja Complejidad;Atención Abierta-Ambulatoria
133558;Posta de Salud Rural Inio;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
124535;Posta de Salud Rural El Azul;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Futaleufú;Baja Complejidad;Atención Abierta-Ambulatoria
133529;Posta de Salud Rural Piedras Blancas;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133527;Posta de Salud Rural Punta Liles o Laitec;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133528;Posta de Salud Rural Punta Paula o Coldita;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
124145;Hospital de Futaleufú;Hospital;Público;Servicio de Salud;;Región de Los Lagos;Futaleufú;Baja Complejidad;Atención Cerrada-Hospitalaria
133526;Posta de Salud Rural Pelu;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133797;Centro Comunitario de Salud Familiar Vista Hermosa;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133796;Centro Comunitario de Salud Familiar Rukalaf;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
200493;Centro Comunitario de Salud Familiar Villa Aytue;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133165;Hospital de Quellón;Hospital;Público;Servicio de Salud;;Región de Los Lagos;Quellón;Baja Complejidad;Atención Cerrada-Hospitalaria
133396;Centro de Salud Familiar Quellón;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133551;Posta de Salud Rural Yaldad;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
124540;Posta de Salud Rural El Espolón;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Futaleufú;Baja Complejidad;Atención Abierta-Ambulatoria
133523;Posta de Salud Rural Candelaria (Quellón);Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133561;Posta de Salud Rural Chaullín;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133548;Posta de Salud Rural Coinco;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133522;Posta de Salud Rural Curanue;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133550;Posta de Salud Rural Auchac;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133499;Posta de Salud Rural Alqui;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Queilén;Baja Complejidad;Atención Abierta-Ambulatoria
133525;Posta de Salud Rural San Juan de Chadmo;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133502;Posta de Salud Rural Nepúe;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Queilén;Baja Complejidad;Atención Abierta-Ambulatoria
133560;Posta de Salud Rural San José;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Queilén;Baja Complejidad;Atención Abierta-Ambulatoria
133549;Posta de Salud Rural Chadmo Central;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
200076;Hospital de Chaitén;Hospital;Público;Servicio de Salud;;Región de Los Lagos;Chaitén;Baja Complejidad;Atención Abierta-Ambulatoria
133170;Hospital Comunitario de Queilén;Hospital;Público;Servicio de Salud;Primario;Región de Los Lagos;Queilén;Baja Complejidad;Atención Cerrada-Hospitalaria
133524;Posta de Salud Rural Compu;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quellón;Baja Complejidad;Atención Abierta-Ambulatoria
133536;Posta de Salud Rural Pureo;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Queilén;Baja Complejidad;Atención Abierta-Ambulatoria
133553;Posta de Salud Rural Natri;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Chonchi;Baja Complejidad;Atención Abierta-Ambulatoria
133534;Posta de Salud Rural de CONTUY;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Queilén;Baja Complejidad;Atención Abierta-Ambulatoria
133500;Posta de Salud Rural Apeche;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Queilén;Baja Complejidad;Atención Abierta-Ambulatoria
133501;Posta de Salud Rural Pío - Pío;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Queilén;Baja Complejidad;Atención Abierta-Ambulatoria
133498;Posta de Salud Rural Agoni Alto;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Queilén;Baja Complejidad;Atención Abierta-Ambulatoria
133538;Posta de Salud Rural Pulpito;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Chonchi;Baja Complejidad;Atención Abierta-Ambulatoria
124533;Posta de Salud Rural Chana;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Chaitén;Baja Complejidad;Atención Abierta-Ambulatoria
124520;Posta de Salud Rural Talcán;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Chaitén;Baja Complejidad;Atención Abierta-Ambulatoria
133480;Posta de Salud Rural Terao;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Chonchi;Baja Complejidad;Atención Abierta-Ambulatoria
124521;Posta de Salud Rural Nayahue;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Chaitén;Baja Complejidad;Atención Abierta-Ambulatoria
133477;Posta de Salud Rural Detif;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Puqueldón;Baja Complejidad;Atención Abierta-Ambulatoria
133745;Centro Comunitario de Salud Familiar Huillinco;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Los Lagos;Chonchi;Baja Complejidad;Atención Abierta-Ambulatoria
133478;Posta de Salud Rural Liucura (Puqueldón);Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Puqueldón;Baja Complejidad;Atención Abierta-Ambulatoria
133556;Posta de Salud Rural Cucao;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Chonchi;Baja Complejidad;Atención Abierta-Ambulatoria
133511;Posta de Salud Rural Capilla Antigüa;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quinchao;Baja Complejidad;Atención Abierta-Ambulatoria
124518;Posta de Salud Rural Chulín;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Chaitén;Baja Complejidad;Atención Abierta-Ambulatoria
133552;Posta de Salud Rural Chaulinec La Villa;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Los Lagos;Quinchao;Baja Complejidad;Atención Abierta-Ambulatoria
133345;Centro de Salud Familiar Chonchi;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Los Lagos;Chonchi;Baja Complejidad;Atención Abierta-Ambulatoria
